row_id,timestamp,source,event_type,severity,raw_fields,source_file,source_row
F001,2026-09-01T02:41:00,185.72.44.19,login_success,high,"{""bytes"": 500, ""demo_expect"": ""suspicious"", ""demo_phase"": ""Off-hours access"", ""dest_ip"": ""10.0.0.10"", ""device"": ""Unknown-Laptop"", ""message"": ""Admin login outside working hours"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""admin""}",demo_feed.csv,1
F002,2026-09-01T02:42:02,185.72.44.19,login_success,high,"{""bytes"": 506, ""demo_expect"": ""suspicious"", ""demo_phase"": ""Off-hours access"", ""dest_ip"": ""10.0.0.10"", ""device"": ""Unknown-Laptop"", ""message"": ""Admin login outside working hours"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""admin""}",demo_feed.csv,2
F003,2026-09-01T02:43:04,185.72.44.19,login_success,high,"{""bytes"": 512, ""demo_expect"": ""suspicious"", ""demo_phase"": ""Off-hours access"", ""dest_ip"": ""10.0.0.10"", ""device"": ""Unknown-Laptop"", ""message"": ""Admin login outside working hours"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""admin""}",demo_feed.csv,3
F004,2026-09-01T03:10:00,192.168.1.21,http_request,info,"{""bytes"": 420, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""LAP-EMP-01"", ""message"": ""Routine activity"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee01""}",demo_feed.csv,4
F005,2026-09-01T03:11:13,192.168.1.22,login_success,info,"{""bytes"": 457, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""LAP-EMP-02"", ""message"": ""Routine activity"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee02""}",demo_feed.csv,5
F006,2026-09-01T03:12:26,192.168.1.23,file_access,info,"{""bytes"": 494, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""DESK-EMP-03"", ""message"": ""Routine activity"", ""path"": ""/share/team/agenda.pdf"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee03""}",demo_feed.csv,6
F007,2026-09-01T03:13:39,192.168.1.24,http_request,info,"{""bytes"": 531, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""MOB-EMP-04"", ""message"": ""Routine activity"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee04""}",demo_feed.csv,7
F008,2026-09-01T03:14:52,192.168.1.21,logout,info,"{""bytes"": 568, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""LAP-EMP-01"", ""message"": ""Routine activity"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee01""}",demo_feed.csv,8
F009,2026-09-01T03:15:05,192.168.1.22,http_request,info,"{""bytes"": 605, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""LAP-EMP-02"", ""message"": ""Routine activity"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee02""}",demo_feed.csv,9
F010,2026-09-01T03:16:18,192.168.1.23,login_success,info,"{""bytes"": 642, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""DESK-EMP-03"", ""message"": ""Routine activity"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee03""}",demo_feed.csv,10
F011,2026-09-01T03:17:31,192.168.1.24,file_access,info,"{""bytes"": 679, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""MOB-EMP-04"", ""message"": ""Routine activity"", ""path"": ""/share/team/agenda.pdf"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee04""}",demo_feed.csv,11
F012,2026-09-01T03:18:44,192.168.1.21,http_request,info,"{""bytes"": 716, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""LAP-EMP-01"", ""message"": ""Routine activity"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee01""}",demo_feed.csv,12
F013,2026-09-01T03:19:57,192.168.1.22,logout,info,"{""bytes"": 753, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""LAP-EMP-02"", ""message"": ""Routine activity"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee02""}",demo_feed.csv,13
F014,2026-09-01T06:00:00,45.13.201.8,failed_login,high,"{""bytes"": 190, ""demo_expect"": ""suspicious"", ""demo_phase"": ""Credential stuffing"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""Unknown-Host"", ""message"": ""Authentication failure for asha"", ""protocol"": ""HTTPS"", ""status"": ""FAILED"", ""user"": ""asha""}",demo_feed.csv,14
F015,2026-09-01T06:00:21,45.13.201.8,failed_login,high,"{""bytes"": 190, ""demo_expect"": ""suspicious"", ""demo_phase"": ""Credential stuffing"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""Unknown-Host"", ""message"": ""Authentication failure for ravi"", ""protocol"": ""HTTPS"", ""status"": ""FAILED"", ""user"": ""ravi""}",demo_feed.csv,15
F016,2026-09-01T06:00:42,45.13.201.8,failed_login,high,"{""bytes"": 190, ""demo_expect"": ""suspicious"", ""demo_phase"": ""Credential stuffing"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""Unknown-Host"", ""message"": ""Authentication failure for meera"", ""protocol"": ""HTTPS"", ""status"": ""FAILED"", ""user"": ""meera""}",demo_feed.csv,16
F017,2026-09-01T06:01:03,45.13.201.8,failed_login,high,"{""bytes"": 190, ""demo_expect"": ""suspicious"", ""demo_phase"": ""Credential stuffing"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""Unknown-Host"", ""message"": ""Authentication failure for vikram"", ""protocol"": ""HTTPS"", ""status"": ""FAILED"", ""user"": ""vikram""}",demo_feed.csv,17
F018,2026-09-01T06:01:24,45.13.201.8,failed_login,high,"{""bytes"": 190, ""demo_expect"": ""suspicious"", ""demo_phase"": ""Credential stuffing"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""Unknown-Host"", ""message"": ""Authentication failure for neha"", ""protocol"": ""HTTPS"", ""status"": ""FAILED"", ""user"": ""neha""}",demo_feed.csv,18
F019,2026-09-01T06:01:45,45.13.201.8,failed_login,high,"{""bytes"": 190, ""demo_expect"": ""suspicious"", ""demo_phase"": ""Credential stuffing"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""Unknown-Host"", ""message"": ""Authentication failure for sana"", ""protocol"": ""HTTPS"", ""status"": ""FAILED"", ""user"": ""sana""}",demo_feed.csv,19
F020,2026-09-01T06:02:06,45.13.201.8,failed_login,high,"{""bytes"": 190, ""demo_expect"": ""suspicious"", ""demo_phase"": ""Credential stuffing"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""Unknown-Host"", ""message"": ""Authentication failure for kabir"", ""protocol"": ""HTTPS"", ""status"": ""FAILED"", ""user"": ""kabir""}",demo_feed.csv,20
F021,2026-09-01T06:02:27,45.13.201.8,failed_login,high,"{""bytes"": 190, ""demo_expect"": ""suspicious"", ""demo_phase"": ""Credential stuffing"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""Unknown-Host"", ""message"": ""Authentication failure for dev1"", ""protocol"": ""HTTPS"", ""status"": ""FAILED"", ""user"": ""dev1""}",demo_feed.csv,21
F022,2026-09-01T06:02:48,45.13.201.8,failed_login,high,"{""bytes"": 190, ""demo_expect"": ""suspicious"", ""demo_phase"": ""Credential stuffing"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""Unknown-Host"", ""message"": ""Authentication failure for finance_svc"", ""protocol"": ""HTTPS"", ""status"": ""FAILED"", ""user"": ""finance_svc""}",demo_feed.csv,22
F023,2026-09-01T06:03:09,45.13.201.8,failed_login,high,"{""bytes"": 190, ""demo_expect"": ""suspicious"", ""demo_phase"": ""Credential stuffing"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""Unknown-Host"", ""message"": ""Authentication failure for backup_svc"", ""protocol"": ""HTTPS"", ""status"": ""FAILED"", ""user"": ""backup_svc""}",demo_feed.csv,23
F024,2026-09-01T06:03:30,45.13.201.8,failed_login,high,"{""bytes"": 190, ""demo_expect"": ""suspicious"", ""demo_phase"": ""Credential stuffing"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""Unknown-Host"", ""message"": ""Authentication failure for root"", ""protocol"": ""HTTPS"", ""status"": ""FAILED"", ""user"": ""root""}",demo_feed.csv,24
F025,2026-09-01T06:03:51,45.13.201.8,failed_login,high,"{""bytes"": 190, ""demo_expect"": ""suspicious"", ""demo_phase"": ""Credential stuffing"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""Unknown-Host"", ""message"": ""Authentication failure for administrator"", ""protocol"": ""HTTPS"", ""status"": ""FAILED"", ""user"": ""administrator""}",demo_feed.csv,25
F026,2026-09-01T09:00:00,192.168.1.21,http_request,info,"{""bytes"": 420, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""LAP-EMP-01"", ""message"": ""Routine activity"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee01""}",demo_feed.csv,26
F027,2026-09-01T09:01:13,192.168.1.22,login_success,info,"{""bytes"": 457, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""LAP-EMP-02"", ""message"": ""Routine activity"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee02""}",demo_feed.csv,27
F028,2026-09-01T09:02:26,192.168.1.23,file_access,info,"{""bytes"": 494, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""DESK-EMP-03"", ""message"": ""Routine activity"", ""path"": ""/share/team/agenda.pdf"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee03""}",demo_feed.csv,28
F029,2026-09-01T09:03:39,192.168.1.24,http_request,info,"{""bytes"": 531, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""MOB-EMP-04"", ""message"": ""Routine activity"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee04""}",demo_feed.csv,29
F030,2026-09-01T09:04:52,192.168.1.21,logout,info,"{""bytes"": 568, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""LAP-EMP-01"", ""message"": ""Routine activity"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee01""}",demo_feed.csv,30
F031,2026-09-01T09:05:05,192.168.1.22,http_request,info,"{""bytes"": 605, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""LAP-EMP-02"", ""message"": ""Routine activity"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee02""}",demo_feed.csv,31
F032,2026-09-01T09:06:18,192.168.1.23,login_success,info,"{""bytes"": 642, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""DESK-EMP-03"", ""message"": ""Routine activity"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee03""}",demo_feed.csv,32
F033,2026-09-01T09:07:31,192.168.1.24,file_access,info,"{""bytes"": 679, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""MOB-EMP-04"", ""message"": ""Routine activity"", ""path"": ""/share/team/agenda.pdf"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee04""}",demo_feed.csv,33
F034,2026-09-01T09:08:44,192.168.1.21,http_request,info,"{""bytes"": 716, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""LAP-EMP-01"", ""message"": ""Routine activity"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee01""}",demo_feed.csv,34
F035,2026-09-01T09:09:57,192.168.1.22,logout,info,"{""bytes"": 753, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""LAP-EMP-02"", ""message"": ""Routine activity"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee02""}",demo_feed.csv,35
F036,2026-09-01T09:10:10,192.168.1.23,http_request,info,"{""bytes"": 790, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""DESK-EMP-03"", ""message"": ""Routine activity"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee03""}",demo_feed.csv,36
F037,2026-09-01T09:11:23,192.168.1.24,login_success,info,"{""bytes"": 827, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""MOB-EMP-04"", ""message"": ""Routine activity"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee04""}",demo_feed.csv,37
F038,2026-09-01T09:12:36,192.168.1.21,file_access,info,"{""bytes"": 864, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""LAP-EMP-01"", ""message"": ""Routine activity"", ""path"": ""/share/team/agenda.pdf"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee01""}",demo_feed.csv,38
F039,2026-09-01T09:13:49,192.168.1.22,http_request,info,"{""bytes"": 901, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""LAP-EMP-02"", ""message"": ""Routine activity"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee02""}",demo_feed.csv,39
F040,2026-09-01T09:14:02,192.168.1.23,logout,info,"{""bytes"": 938, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""DESK-EMP-03"", ""message"": ""Routine activity"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee03""}",demo_feed.csv,40
F041,2026-09-01T09:15:15,192.168.1.24,http_request,info,"{""bytes"": 975, ""demo_expect"": ""normal"", ""demo_phase"": ""Baseline traffic"", ""dest_ip"": ""10.0.0.10"", ""dest_port"": 443, ""device"": ""MOB-EMP-04"", ""message"": ""Routine activity"", ""protocol"": ""HTTPS"", ""status"": ""SUCCESS"", ""user"": ""employee04""}",demo_feed.csv,41
