row_id,timestamp,source_ip,destination_ip,event_type,username,protocol,bytes,status,device,severity,message
N001,2026-09-01 09:00:00,192.168.1.21,10.0.0.10,LOGIN,employee01,HTTPS,480,SUCCESS,Office-Laptop-01,INFO,Normal login
N002,2026-09-01 10:07:13,192.168.1.22,10.0.0.20,NETWORK_REQUEST,employee02,TCP,1235,SUCCESS,Office-Laptop-02,INFO,Normal network request
N003,2026-09-01 11:14:26,192.168.1.23,10.0.0.15,FILE_ACCESS,employee03,HTTPS,1070,SUCCESS,Office-Laptop-03,INFO,Normal file access
N004,2026-09-01 12:21:39,192.168.1.24,10.0.0.10,LOGIN,employee04,HTTPS,585,SUCCESS,Office-Laptop-04,INFO,Normal login
N005,2026-09-01 13:28:52,192.168.1.25,10.0.0.20,NETWORK_REQUEST,employee05,TCP,1340,SUCCESS,Office-Laptop-05,INFO,Normal network request
N006,2026-09-01 14:35:05,192.168.1.26,10.0.0.15,FILE_ACCESS,employee06,HTTPS,1175,SUCCESS,Office-Laptop-06,INFO,Normal file access
N007,2026-09-01 15:42:18,192.168.1.27,10.0.0.10,LOGIN,employee07,HTTPS,690,SUCCESS,Office-Laptop-07,INFO,Normal login
N008,2026-09-01 16:49:31,192.168.1.28,10.0.0.20,NETWORK_REQUEST,employee08,TCP,1445,SUCCESS,Office-Laptop-08,INFO,Normal network request
N009,2026-09-01 09:56:44,192.168.1.29,10.0.0.15,FILE_ACCESS,employee09,HTTPS,1280,SUCCESS,Office-Laptop-09,INFO,Normal file access
N010,2026-09-01 10:03:57,192.168.1.30,10.0.0.10,LOGIN,employee10,HTTPS,795,SUCCESS,Office-Laptop-10,INFO,Normal login
N011,2026-09-01 11:10:10,192.168.1.21,10.0.0.20,NETWORK_REQUEST,employee01,TCP,1550,SUCCESS,Office-Laptop-01,INFO,Normal network request
N012,2026-09-01 12:17:23,192.168.1.22,10.0.0.15,FILE_ACCESS,employee02,HTTPS,1385,SUCCESS,Office-Laptop-02,INFO,Normal file access
N013,2026-09-01 13:24:36,192.168.1.23,10.0.0.10,LOGIN,employee03,HTTPS,900,SUCCESS,Office-Laptop-03,INFO,Normal login
N014,2026-09-01 14:31:49,192.168.1.24,10.0.0.20,NETWORK_REQUEST,employee04,TCP,1655,SUCCESS,Office-Laptop-04,INFO,Normal network request
N015,2026-09-01 15:38:02,192.168.1.25,10.0.0.15,FILE_ACCESS,employee05,HTTPS,1490,SUCCESS,Office-Laptop-05,INFO,Normal file access
N016,2026-09-01 16:45:15,192.168.1.26,10.0.0.10,LOGIN,employee06,HTTPS,1005,SUCCESS,Office-Laptop-06,INFO,Normal login
N017,2026-09-01 09:52:28,192.168.1.27,10.0.0.20,NETWORK_REQUEST,employee07,TCP,1760,SUCCESS,Office-Laptop-07,INFO,Normal network request
N018,2026-09-01 10:59:41,192.168.1.28,10.0.0.15,FILE_ACCESS,employee08,HTTPS,1595,SUCCESS,Office-Laptop-08,INFO,Normal file access
N019,2026-09-01 11:06:54,192.168.1.29,10.0.0.10,LOGIN,employee09,HTTPS,1110,SUCCESS,Office-Laptop-09,INFO,Normal login
N020,2026-09-01 12:13:07,192.168.1.30,10.0.0.20,NETWORK_REQUEST,employee10,TCP,1865,SUCCESS,Office-Laptop-10,INFO,Normal network request
N021,2026-09-01 13:20:20,192.168.1.21,10.0.0.15,FILE_ACCESS,employee01,HTTPS,1700,SUCCESS,Office-Laptop-01,INFO,Normal file access
N022,2026-09-01 14:27:33,192.168.1.22,10.0.0.10,LOGIN,employee02,HTTPS,1215,SUCCESS,Office-Laptop-02,INFO,Normal login
N023,2026-09-01 15:34:46,192.168.1.23,10.0.0.20,NETWORK_REQUEST,employee03,TCP,1970,SUCCESS,Office-Laptop-03,INFO,Normal network request
N024,2026-09-01 16:41:59,192.168.1.24,10.0.0.15,FILE_ACCESS,employee04,HTTPS,1805,SUCCESS,Office-Laptop-04,INFO,Normal file access
N025,2026-09-01 09:48:12,192.168.1.25,10.0.0.10,LOGIN,employee05,HTTPS,1320,SUCCESS,Office-Laptop-05,INFO,Normal login
N026,2026-09-01 10:55:25,192.168.1.26,10.0.0.20,NETWORK_REQUEST,employee06,TCP,1200,SUCCESS,Office-Laptop-06,INFO,Normal network request
N027,2026-09-01 11:02:38,192.168.1.27,10.0.0.15,FILE_ACCESS,employee07,HTTPS,1035,SUCCESS,Office-Laptop-07,INFO,Normal file access
N028,2026-09-01 12:09:51,192.168.1.28,10.0.0.10,LOGIN,employee08,HTTPS,550,SUCCESS,Office-Laptop-08,INFO,Normal login
N029,2026-09-01 13:16:04,192.168.1.29,10.0.0.20,NETWORK_REQUEST,employee09,TCP,1305,SUCCESS,Office-Laptop-09,INFO,Normal network request
N030,2026-09-01 14:23:17,192.168.1.30,10.0.0.15,FILE_ACCESS,employee10,HTTPS,1140,SUCCESS,Office-Laptop-10,INFO,Normal file access
N031,2026-09-01 15:30:30,192.168.1.21,10.0.0.10,LOGIN,employee01,HTTPS,655,SUCCESS,Office-Laptop-01,INFO,Normal login
N032,2026-09-01 16:37:43,192.168.1.22,10.0.0.20,NETWORK_REQUEST,employee02,TCP,1410,SUCCESS,Office-Laptop-02,INFO,Normal network request
N033,2026-09-01 09:44:56,192.168.1.23,10.0.0.15,FILE_ACCESS,employee03,HTTPS,1245,SUCCESS,Office-Laptop-03,INFO,Normal file access
N034,2026-09-01 10:51:09,192.168.1.24,10.0.0.10,LOGIN,employee04,HTTPS,760,SUCCESS,Office-Laptop-04,INFO,Normal login
N035,2026-09-01 11:58:22,192.168.1.25,10.0.0.20,NETWORK_REQUEST,employee05,TCP,1515,SUCCESS,Office-Laptop-05,INFO,Normal network request
N036,2026-09-01 12:05:35,192.168.1.26,10.0.0.15,FILE_ACCESS,employee06,HTTPS,1350,SUCCESS,Office-Laptop-06,INFO,Normal file access
