<<<<<<< HEAD
row_id,timestamp,source,event_type,severity,raw_fields,source_file,source_row
D001,2026-09-01T02:43:12,185.72.44.19,login,high,"{""bytes"":500,""dest_ip"":""10.0.0.10"",""device"":""Unknown-Laptop"",""message"":""Admin login during unusual hours"",""protocol"":""HTTPS"",""status"":""SUCCESS"",""timestamp_raw"":""2026-09-01 02:43:12"",""username"":""admin""}",anomaly_logs.csv,1
D002,2026-09-01T02:44:15,185.72.44.19,login,high,"{""bytes"":506,""dest_ip"":""10.0.0.10"",""device"":""Unknown-Laptop"",""message"":""Admin login during unusual hours"",""protocol"":""HTTPS"",""status"":""SUCCESS"",""timestamp_raw"":""2026-09-01 02:44:15"",""username"":""admin""}",anomaly_logs.csv,2
D003,2026-09-01T02:45:18,185.72.44.19,login,high,"{""bytes"":512,""dest_ip"":""10.0.0.10"",""device"":""Unknown-Laptop"",""message"":""Admin login during unusual hours"",""protocol"":""HTTPS"",""status"":""SUCCESS"",""timestamp_raw"":""2026-09-01 02:45:18"",""username"":""admin""}",anomaly_logs.csv,3
D004,2026-09-01T02:46:21,185.72.44.19,login,high,"{""bytes"":518,""dest_ip"":""10.0.0.10"",""device"":""Unknown-Laptop"",""message"":""Admin login during unusual hours"",""protocol"":""HTTPS"",""status"":""SUCCESS"",""timestamp_raw"":""2026-09-01 02:46:21"",""username"":""admin""}",anomaly_logs.csv,4
D005,2026-09-01T02:47:24,185.72.44.19,login,high,"{""bytes"":524,""dest_ip"":""10.0.0.10"",""device"":""Unknown-Laptop"",""message"":""Admin login during unusual hours"",""protocol"":""HTTPS"",""status"":""SUCCESS"",""timestamp_raw"":""2026-09-01 02:47:24"",""username"":""admin""}",anomaly_logs.csv,5
D006,2026-09-01T02:48:27,185.72.44.19,login,high,"{""bytes"":530,""dest_ip"":""10.0.0.10"",""device"":""Unknown-Laptop"",""message"":""Admin login during unusual hours"",""protocol"":""HTTPS"",""status"":""SUCCESS"",""timestamp_raw"":""2026-09-01 02:48:27"",""username"":""admin""}",anomaly_logs.csv,6
D007,2026-09-01T02:49:30,185.72.44.19,login,high,"{""bytes"":536,""dest_ip"":""10.0.0.10"",""device"":""Unknown-Laptop"",""message"":""Admin login during unusual hours"",""protocol"":""HTTPS"",""status"":""SUCCESS"",""timestamp_raw"":""2026-09-01 02:49:30"",""username"":""admin""}",anomaly_logs.csv,7
D008,2026-09-01T02:50:33,185.72.44.19,login,high,"{""bytes"":542,""dest_ip"":""10.0.0.10"",""device"":""Unknown-Laptop"",""message"":""Admin login during unusual hours"",""protocol"":""HTTPS"",""status"":""SUCCESS"",""timestamp_raw"":""2026-09-01 02:50:33"",""username"":""admin""}",anomaly_logs.csv,8
D009,2026-09-01T02:51:36,185.72.44.19,login,high,"{""bytes"":548,""dest_ip"":""10.0.0.10"",""device"":""Unknown-Laptop"",""message"":""Admin login during unusual hours"",""protocol"":""HTTPS"",""status"":""SUCCESS"",""timestamp_raw"":""2026-09-01 02:51:36"",""username"":""admin""}",anomaly_logs.csv,9
D010,2026-09-01T02:52:39,185.72.44.19,login,high,"{""bytes"":554,""dest_ip"":""10.0.0.10"",""device"":""Unknown-Laptop"",""message"":""Admin login during unusual hours"",""protocol"":""HTTPS"",""status"":""SUCCESS"",""timestamp_raw"":""2026-09-01 02:52:39"",""username"":""admin""}",anomaly_logs.csv,10
D011,2026-09-01T02:53:42,185.72.44.19,login,high,"{""bytes"":560,""dest_ip"":""10.0.0.10"",""device"":""Unknown-Laptop"",""message"":""Admin login during unusual hours"",""protocol"":""HTTPS"",""status"":""SUCCESS"",""timestamp_raw"":""2026-09-01 02:53:42"",""username"":""admin""}",anomaly_logs.csv,11
D012,2026-09-01T02:54:45,185.72.44.19,login,high,"{""bytes"":566,""dest_ip"":""10.0.0.10"",""device"":""Unknown-Laptop"",""message"":""Admin login during unusual hours"",""protocol"":""HTTPS"",""status"":""SUCCESS"",""timestamp_raw"":""2026-09-01 02:54:45"",""username"":""admin""}",anomaly_logs.csv,12
D013,2026-09-01T02:55:48,185.72.44.19,login,high,"{""bytes"":572,""dest_ip"":""10.0.0.10"",""device"":""Unknown-Laptop"",""message"":""Admin login during unusual hours"",""protocol"":""HTTPS"",""status"":""SUCCESS"",""timestamp_raw"":""2026-09-01 02:55:48"",""username"":""admin""}",anomaly_logs.csv,13
D014,2026-09-01T02:56:51,185.72.44.19,login,high,"{""bytes"":578,""dest_ip"":""10.0.0.10"",""device"":""Unknown-Laptop"",""message"":""Admin login during unusual hours"",""protocol"":""HTTPS"",""status"":""SUCCESS"",""timestamp_raw"":""2026-09-01 02:56:51"",""username"":""admin""}",anomaly_logs.csv,14
D015,2026-09-01T02:57:54,185.72.44.19,login,high,"{""bytes"":584,""dest_ip"":""10.0.0.10"",""device"":""Unknown-Laptop"",""message"":""Admin login during unusual hours"",""protocol"":""HTTPS"",""status"":""SUCCESS"",""timestamp_raw"":""2026-09-01 02:57:54"",""username"":""admin""}",anomaly_logs.csv,15
D016,2026-09-01T02:58:57,185.72.44.19,login,high,"{""bytes"":590,""dest_ip"":""10.0.0.10"",""device"":""Unknown-Laptop"",""message"":""Admin login during unusual hours"",""protocol"":""HTTPS"",""status"":""SUCCESS"",""timestamp_raw"":""2026-09-01 02:58:57"",""username"":""admin""}",anomaly_logs.csv,16
D017,2026-09-01T02:59:00,185.72.44.19,login,high,"{""bytes"":596,""dest_ip"":""10.0.0.10"",""device"":""Unknown-Laptop"",""message"":""Admin login during unusual hours"",""protocol"":""HTTPS"",""status"":""SUCCESS"",""timestamp_raw"":""2026-09-01 02:59:00"",""username"":""admin""}",anomaly_logs.csv,17
D018,2026-09-01T02:00:03,185.72.44.19,login,high,"{""bytes"":602,""dest_ip"":""10.0.0.10"",""device"":""Unknown-Laptop"",""message"":""Admin login during unusual hours"",""protocol"":""HTTPS"",""status"":""SUCCESS"",""timestamp_raw"":""2026-09-01 02:00:03"",""username"":""admin""}",anomaly_logs.csv,18
D019,2026-09-01T02:01:06,185.72.44.19,login,high,"{""bytes"":608,""dest_ip"":""10.0.0.10"",""device"":""Unknown-Laptop"",""message"":""Admin login during unusual hours"",""protocol"":""HTTPS"",""status"":""SUCCESS"",""timestamp_raw"":""2026-09-01 02:01:06"",""username"":""admin""}",anomaly_logs.csv,19
D020,2026-09-01T02:02:09,185.72.44.19,login,high,"{""bytes"":614,""dest_ip"":""10.0.0.10"",""device"":""Unknown-Laptop"",""message"":""Admin login during unusual hours"",""protocol"":""HTTPS"",""status"":""SUCCESS"",""timestamp_raw"":""2026-09-01 02:02:09"",""username"":""admin""}",anomaly_logs.csv,20
D021,2026-09-01T02:03:12,185.72.44.19,login,high,"{""bytes"":620,""dest_ip"":""10.0.0.10"",""device"":""Unknown-Laptop"",""message"":""Admin login during unusual hours"",""protocol"":""HTTPS"",""status"":""SUCCESS"",""timestamp_raw"":""2026-09-01 02:03:12"",""username"":""admin""}",anomaly_logs.csv,21
