Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Duration,Flow Packets/s,SYN Flag Count,Label
4/7/2017 2:44,192.168.10.16,195.54.48.9,6,50998,443,2,0,0,0.0,33958,58.89628364,0,BENIGN
7/7/2017 4:04,192.168.10.50,172.16.0.1,6,80,26177,1,6,6,36.0,4073403,1.718464881,0,BENIGN
7/7/2017 5:00,192.168.10.25,192.168.10.3,17,54967,53,2,2,88,150.0,214,18691.58879,0,BENIGN
4/7/2017 1:49,192.168.10.3,192.168.10.1,17,60394,53,1,1,47,103.0,48738,41.03574213,0,BENIGN
5/7/2017 1:48,192.168.10.12,23.61.187.27,6,34918,80,3,1,0,0.0,5983037,0.668556788,0,BENIGN
5/7/2017 8:59,192.168.10.25,157.240.2.25,6,49707,443,2,1,12,0.0,73276,40.9410994,0,BENIGN
7/7/2017 4:20,192.168.10.15,74.119.118.72,6,59667,443,9,10,3605,5367.0,9699605,1.958842654,0,BENIGN
7/7/2017 4:01,192.168.10.50,172.16.0.1,6,80,21320,1,6,1375,30.0,12911710,0.542143527,1,BENIGN
4/7/2017 9:58,192.168.10.5,152.163.66.131,6,52503,443,24,23,1606,9356.0,118731738,0.39585035,0,BENIGN
5/7/2017 9:30,192.168.10.19,185.167.164.39,6,50691,443,12,8,841,4220.0,15441191,1.295236876,0,BENIGN
4/7/2017 11:27,192.168.10.3,192.168.10.1,17,60319,53,1,1,46,90.0,23861,83.81878379,0,BENIGN
4/7/2017 1:40,192.168.10.16,192.168.10.3,17,1979,53,2,2,94,196.0,31383,127.4575407,0,BENIGN
4/7/2017 3:46,192.168.10.8,172.217.9.238,6,56051,80,9,7,437,746.0,44310290,0.361089941,0,BENIGN
5/7/2017 1:27,192.168.10.14,192.168.10.3,17,50009,53,2,2,68,206.0,175,22857.14286,0,BENIGN
7/7/2017 3:56,172.16.0.1,192.168.10.50,6,14266,80,3,6,26,11607.0,1004745,8.957496678,0,DDoS
7/7/2017 4:04,172.16.0.1,192.168.10.50,6,65192,80,8,4,56,11607.0,82068314,0.146219648,0,DDoS
4/7/2017 9:50,192.168.10.19,198.50.139.209,17,123,123,2,2,96,96.0,67027766,0.059676761,0,BENIGN
7/7/2017 4:01,172.16.0.1,192.168.10.50,6,21300,80,3,6,26,11601.0,1802766,4.992328455,0,DDoS
5/7/2017 9:16,192.168.10.3,192.168.10.1,17,60208,53,1,1,44,60.0,552,3623.188406,0,BENIGN
4/7/2017 4:59,72.167.239.239,192.168.10.12,6,80,42448,1,1,0,0.0,54,37037.03704,0,BENIGN
4/7/2017 9:01,192.168.10.9,192.168.10.3,17,57039,53,2,2,90,146.0,251,15936.25498,0,BENIGN
7/7/2017 4:05,172.16.0.1,192.168.10.50,6,63662,80,4,0,24,0.0,3931868,1.01732815,0,DDoS
4/7/2017 10:22,192.168.10.9,192.168.10.3,17,50615,53,2,2,60,264.0,211,18957.34597,0,BENIGN
4/7/2017 9:25,192.168.10.15,192.168.10.3,17,55240,53,2,2,88,202.0,60736,65.85879874,0,BENIGN
7/7/2017 4:14,172.16.0.1,192.168.10.50,6,65260,80,5,0,30,0.0,4043854,1.236444244,0,DDoS
7/7/2017 4:06,192.168.10.50,172.16.0.1,6,80,51100,6,10,11613,68.0,81588713,0.196105557,0,BENIGN
7/7/2017 4:03,172.16.0.1,192.168.10.50,6,63166,80,8,5,56,11601.0,82354725,0.157853724,0,DDoS
5/7/2017 10:33,54.192.37.228,192.168.10.15,6,443,53160,1,1,6,6.0,50,40000.0,0,BENIGN
7/7/2017 3:57,172.16.0.1,192.168.10.50,6,50408,80,3,5,26,11607.0,1192267,6.709906422,0,DDoS
5/7/2017 3:21,192.168.10.5,162.208.20.178,6,60526,443,8,4,382,3508.0,406569,29.51528523,0,BENIGN
4/7/2017 9:20,192.168.10.3,192.168.10.1,17,60647,53,1,1,44,250.0,71315,28.0445909,0,BENIGN
4/7/2017 9:38,192.168.10.17,132.163.4.102,17,123,123,2,2,96,96.0,67058668,0.059649261,0,BENIGN
7/7/2017 3:57,172.16.0.1,192.168.10.50,6,15920,80,5,0,30,0.0,10784737,0.463618167,0,DDoS
7/7/2017 3:56,172.16.0.1,192.168.10.50,6,14334,80,2,6,20,11601.0,383203,20.87666328,0,DDoS
4/7/2017 10:34,192.168.10.3,192.168.10.1,17,60734,53,2,2,129,321.0,111970098,0.035723823,0,BENIGN
4/7/2017 10:52,74.119.118.74,192.168.10.51,6,80,35417,2,0,0,0.0,3,666666.6667,0,BENIGN
7/7/2017 4:12,172.16.0.1,192.168.10.50,6,36941,80,5,0,30,0.0,3923956,1.274224278,0,DDoS
7/7/2017 4:13,172.16.0.1,192.168.10.50,6,38206,80,4,0,24,0.0,4129238,0.968701731,0,DDoS
7/7/2017 3:56,172.16.0.1,192.168.10.50,6,14376,80,4,0,24,0.0,8911732,0.448846532,0,DDoS
4/7/2017 10:58,192.168.10.9,216.58.219.194,6,3746,80,16,14,291,2048.0,115674323,0.259348827,0,BENIGN
7/7/2017 4:15,172.16.0.1,192.168.10.50,6,50905,80,5,0,30,0.0,2289430,2.183949717,0,DDoS
7/7/2017 3:58,172.16.0.1,192.168.10.50,6,52316,80,5,0,30,0.0,6064242,0.824505355,0,DDoS
4/7/2017 4:27,192.168.10.9,34.201.96.36,6,11393,443,8,5,308,290.0,5438898,2.390190072,0,BENIGN
7/7/2017 4:08,192.168.10.8,61.213.187.242,6,9706,443,2,0,12,0.0,21442,93.27488107,0,BENIGN
4/7/2017 9:50,172.217.12.198,192.168.10.8,6,443,50829,2,0,0,0.0,3,666666.6667,0,BENIGN
7/7/2017 4:08,172.16.0.1,192.168.10.50,6,30493,80,3,4,26,11601.0,44571,157.0527922,0,DDoS
7/7/2017 4:03,172.16.0.1,192.168.10.50,6,24169,80,5,0,30,0.0,10061748,0.496931547,0,DDoS
4/7/2017 9:19,172.16.0.1,192.168.10.50,6,52158,21,9,15,101,188.0,9294296,2.582228928,0,FTP-Patator
